state,activity_code,activity_label,status,count
ANDAMAN AND NICOBAR ISLANDS,1(a),Mining of minerals,granted,8
ANDAMAN AND NICOBAR ISLANDS,1(a),Mining of minerals,in_process,1
ANDAMAN AND NICOBAR ISLANDS,1(b),"Off-shore and onshore oil and gas exploration,  development ",granted,4
ANDAMAN AND NICOBAR ISLANDS,1(d),Thermal Power Plants,dead,1
ANDAMAN AND NICOBAR ISLANDS,6(a),Pipelines,tor_granted,1
ANDAMAN AND NICOBAR ISLANDS,7(a),Airports,granted,1
ANDAMAN AND NICOBAR ISLANDS,7(e),"Ports, harbors, breakwaters, dredging",dead,1
ANDAMAN AND NICOBAR ISLANDS,7(e),"Ports, harbors, breakwaters, dredging",granted,2
ANDAMAN AND NICOBAR ISLANDS,8(a),Building / Construction,delisted,1
ANDHRA PRADESH,1,,granted,9
ANDHRA PRADESH,1,,in_process,1
ANDHRA PRADESH,1,,tor_granted,3
ANDHRA PRADESH,1(a),Mining of minerals,dead,185
ANDHRA PRADESH,1(a),Mining of minerals,delisted,375
ANDHRA PRADESH,1(a),Mining of minerals,granted,1829
ANDHRA PRADESH,1(a),Mining of minerals,in_process,268
ANDHRA PRADESH,1(a),Mining of minerals,tor_granted,475
ANDHRA PRADESH,1(b),"Off-shore and onshore oil and gas exploration,  development ",dead,6
ANDHRA PRADESH,1(b),"Off-shore and onshore oil and gas exploration,  development ",delisted,1
ANDHRA PRADESH,1(b),"Off-shore and onshore oil and gas exploration,  development ",granted,9
ANDHRA PRADESH,1(b),"Off-shore and onshore oil and gas exploration,  development ",tor_granted,6
ANDHRA PRADESH,1(c),River Valley/Irrigation projects,dead,2
ANDHRA PRADESH,1(c),River Valley/Irrigation projects,delisted,3
ANDHRA PRADESH,1(c),River Valley/Irrigation projects,granted,7
ANDHRA PRADESH,1(c),River Valley/Irrigation projects,in_process,6
ANDHRA PRADESH,1(c),River Valley/Irrigation projects,tor_granted,22
ANDHRA PRADESH,1(d),Thermal Power Plants,dead,2
ANDHRA PRADESH,1(d),Thermal Power Plants,delisted,1
ANDHRA PRADESH,1(d),Thermal Power Plants,granted,3
ANDHRA PRADESH,15,,tor_granted,1
ANDHRA PRADESH,2(b),Mineral beneficiation,delisted,1
ANDHRA PRADESH,2(b),Mineral beneficiation,granted,4
ANDHRA PRADESH,2(b),Mineral beneficiation,tor_granted,2
ANDHRA PRADESH,3(a),Metallurgical Industries (ferrous and non ferrous),dead,13
ANDHRA PRADESH,3(a),Metallurgical Industries (ferrous and non ferrous),delisted,17
ANDHRA PRADESH,3(a),Metallurgical Industries (ferrous and non ferrous),granted,28
ANDHRA PRADESH,3(a),Metallurgical Industries (ferrous and non ferrous),in_process,7
ANDHRA PRADESH,3(a),Metallurgical Industries (ferrous and non ferrous),tor_granted,14
ANDHRA PRADESH,3(b),Cement plants,dead,8
ANDHRA PRADESH,3(b),Cement plants,delisted,6
ANDHRA PRADESH,3(b),Cement plants,granted,9
ANDHRA PRADESH,3(b),Cement plants,in_process,2
ANDHRA PRADESH,3(b),Cement plants,tor_granted,8
ANDHRA PRADESH,4(a),Petroleum refining industry,granted,1
ANDHRA PRADESH,4(a),Petroleum refining industry,in_process,2
ANDHRA PRADESH,4(a),Petroleum refining industry,tor_granted,2
ANDHRA PRADESH,4(b),Coke oven plants,tor_granted,1
ANDHRA PRADESH,4(c),Asbestos milling / asbestos-based products,granted,1
ANDHRA PRADESH,4(d),Chlor-alkali industry,delisted,2
ANDHRA PRADESH,4(d),Chlor-alkali industry,granted,4
ANDHRA PRADESH,4(d),Chlor-alkali industry,tor_granted,2
ANDHRA PRADESH,4(f),Skin/hide processing including the tanning industry,delisted,1
ANDHRA PRADESH,5(a),Chemical fertilizers,dead,5
ANDHRA PRADESH,5(a),Chemical fertilizers,granted,8
ANDHRA PRADESH,5(a),Chemical fertilizers,in_process,2
ANDHRA PRADESH,5(a),Chemical fertilizers,tor_granted,5
ANDHRA PRADESH,5(b),Pesticides industry and pesticide specific intermediates (ex,dead,1
ANDHRA PRADESH,5(b),Pesticides industry and pesticide specific intermediates (ex,delisted,1
ANDHRA PRADESH,5(b),Pesticides industry and pesticide specific intermediates (ex,granted,1
ANDHRA PRADESH,5(b),Pesticides industry and pesticide specific intermediates (ex,tor_granted,2
ANDHRA PRADESH,5(e,,delisted,1
ANDHRA PRADESH,5(e,,granted,2
ANDHRA PRADESH,5(e,,tor_granted,3
